filename,bbox
00028a005.jpg,"[[-0.6212722063064575, -0.8476427793502808, 0.5802489519119263, 0.8513497114181519]]"
000dcf7d8.jpg,"[[-0.941782534122467, -0.9835300445556641, 0.9661917686462402, 0.9834464192390442]]"
000e7c7df.jpg,"[[-0.6667499542236328, -0.7899817228317261, 0.4499513506889343, 0.7777636647224426]]"
0019c34f4.jpg,"[[-0.7888853549957275, -0.9432748556137085, 0.8417896628379822, 0.9397466778755188]]"
001a4d292.jpg,"[[-0.5862858295440674, -0.9005354642868042, 0.6449381709098816, 0.899672269821167]]"
00247bc36.jpg,"[[-0.3988962173461914, -0.8840553760528564, 0.3040880858898163, 0.881116509437561]]"
0027089a4.jpg,"[[-0.9329237937927246, -0.9757869243621826, 0.9308527708053589, 0.9770510792732239]]"
002de4d94.jpg,"[[-0.5763272047042847, -0.9204789400100708, 0.5788894891738892, 0.9156639575958252]]"
002f52f0c.jpg,"[[-0.528485119342804, -0.9067716598510742, 0.38489198684692383, 0.9070671200752258]]"
002fd89d4.jpg,"[[-0.764681339263916, -0.832032322883606, 0.545898973941803, 0.8196429014205933]]"
00313e2d2.jpg,"[[-0.9368440508842468, -0.9634795188903809, 0.9130200743675232, 0.9644134640693665]]"
00379666f.jpg,"[[-0.7329710721969604, -0.9261215925216675, 0.6947631239891052, 0.9202075600624084]]"
0041a9867.jpg,"[[-0.436018705368042, -0.9311068058013916, 0.4478471279144287, 0.932853639125824]]"
004344e9f.jpg,"[[-0.6021193861961365, -0.917509913444519, 0.5080145597457886, 0.9173324108123779]]"
0048970f9.jpg,"[[-0.7308992743492126, -0.9733392000198364, 0.6096493005752563, 0.9659068584442139]]"
004fa8ff7.jpg,"[[-0.45124465227127075, -0.7818527221679688, 0.19935160875320435, 0.7462301254272461]]"
00512687e.jpg,"[[-0.838962197303772, -0.961567759513855, 0.8747767806053162, 0.9626349210739136]]"
006183fb4.jpg,"[[-0.4423929452896118, -0.9068776369094849, 0.37423110008239746, 0.8797133564949036]]"
0061febfc.jpg,"[[-0.492756724357605, -0.8636140823364258, 0.3394170105457306, 0.8500566482543945]]"
0065d4964.jpg,"[[-0.5932557582855225, -0.877922773361206, 0.20576739311218262, 0.8586797118186951]]"
00744bd58.jpg,"[[-0.49578720331192017, -0.9416860342025757, 0.4528467655181885, 0.9438199400901794]]"
007886aef.jpg,"[[-0.5781002044677734, -0.8981375694274902, 0.47234946489334106, 0.9013104438781738]]"
008a4bc86.jpg,"[[-0.7368244528770447, -0.9510818719863892, 0.7868144512176514, 0.953401505947113]]"
009dd6c96.jpg,"[[-0.9068810343742371, -0.9701404571533203, 0.8815100789070129, 0.9735062122344971]]"
00a427ac6.jpg,"[[-0.782642126083374, -0.9687503576278687, 0.7896338105201721, 0.9680046439170837]]"
00ac0fca6.jpg,"[[-0.5549400448799133, -0.7907912731170654, 0.4881620407104492, 0.7942782044410706]]"
00bb36bcf.jpg,"[[-0.699708104133606, -0.906775712966919, 0.5285649299621582, 0.8990082740783691]]"
00ca82e74.jpg,"[[-0.9096112251281738, -0.9734112024307251, 0.9496877193450928, 0.9725324511528015]]"
00ccb53ec.jpg,"[[-0.6368542909622192, -0.8670316934585571, 0.43824106454849243, 0.8778752088546753]]"
00d101f4b.jpg,"[[-0.43527817726135254, -0.8459603786468506, 0.2556377649307251, 0.835310161113739]]"
00dc02f06.jpg,"[[-0.8792559504508972, -0.9671934843063354, 0.8503442406654358, 0.9687322378158569]]"
00e94fd56.jpg,"[[-0.8755394816398621, -0.9622764587402344, 0.9364737272262573, 0.9620760679244995]]"
00edab267.jpg,"[[-0.5972587466239929, -0.9487216472625732, 0.4691573977470398, 0.9434847831726074]]"
00f44f4e1.jpg,"[[-0.36678066849708557, -0.7800416946411133, 0.49721622467041016, 0.7599372267723083]]"
00ff45291.jpg,"[[-0.8530449271202087, -0.9198604822158813, 0.6762919425964355, 0.9151232242584229]]"
01034a160.jpg,"[[-0.5429056882858276, -0.9032132625579834, 0.4435046315193176, 0.898466169834137]]"
0110a64a9.jpg,"[[-0.9146368503570557, -0.9612141847610474, 0.9568020105361938, 0.9621843099594116]]"
011490ea7.jpg,"[[-0.6239080429077148, -0.9464199542999268, 0.5663179755210876, 0.9405099749565125]]"
01288355d.jpg,"[[-0.8682072162628174, -0.967509388923645, 0.9230439066886902, 0.9700488448143005]]"
012dbdb59.jpg,"[[-0.892411470413208, -0.9561935663223267, 0.7875972986221313, 0.9608639478683472]]"
0133056d1.jpg,"[[-0.40018874406814575, -0.7807818651199341, 0.29535502195358276, 0.7506058216094971]]"
013cb8d04.jpg,"[[-0.8649339079856873, -1.0106533765792847, 0.7955184578895569, 1.0134694576263428]]"
013e23c3f.jpg,"[[-0.6956768035888672, -0.9749693870544434, 0.606131911277771, 0.9692927598953247]]"
01665bc26.jpg,"[[-0.7088494896888733, -0.8948384523391724, 0.6671583652496338, 0.8963411450386047]]"
0169cec0e.jpg,"[[-0.5555269122123718, -0.9636532068252563, 0.7307361364364624, 0.9646919965744019]]"
016bbca6e.jpg,"[[-0.8523752093315125, -0.9398571252822876, 0.5526208281517029, 0.9382439255714417]]"
016ca6f9c.jpg,"[[-0.7657313942909241, -0.9724427461624146, 0.6666437983512878, 0.9762963056564331]]"
0170f741c.jpg,"[[-0.8134311437606812, -0.9770901203155518, 0.8848537802696228, 0.9820981025695801]]"
0182ae396.jpg,"[[-0.5295382738113403, -0.7986533641815186, 0.022696837782859802, 0.7881885170936584]]"
01830c9cf.jpg,"[[-0.9131218791007996, -0.9500144720077515, 0.822263777256012, 0.9518232941627502]]"
01902b965.jpg,"[[-0.8850389719009399, -0.9499155282974243, 0.8583920001983643, 0.9496280550956726]]"
01b1ecf7b.jpg,"[[-0.5873650908470154, -0.9158655405044556, 0.36744076013565063, 0.9017293453216553]]"
01b7a570a.jpg,"[[-0.4007056951522827, -0.8431380987167358, 0.23709556460380554, 0.8282192945480347]]"
01c91eadc.jpg,"[[-0.4482187032699585, -0.9020781517028809, 0.2443404197692871, 0.8985635638237]]"
01d0bd024.jpg,"[[-0.8819558620452881, -0.9711166620254517, 0.6997081637382507, 0.972258448600769]]"
01d48763a.jpg,"[[-0.8799536824226379, -0.9758214950561523, 0.9921501278877258, 0.964981198310852]]"
01d8ab0b0.jpg,"[[-0.3964625597000122, -0.9317389726638794, 0.5546557903289795, 0.938124418258667]]"
01d9c00d4.jpg,"[[-0.5015879273414612, -0.729417085647583, 0.30796295404434204, 0.7210350632667542]]"
01ddb76dc.jpg,"[[-0.7289474010467529, -0.9684635400772095, 0.7203404903411865, 0.9758380651473999]]"
01e1319b8.jpg,"[[-0.8886238932609558, -0.9811837673187256, 0.947117269039154, 0.9797714352607727]]"
01e527ebc.jpg,"[[-0.840263843536377, -0.9257099628448486, 0.8406341671943665, 0.9268824458122253]]"
01ea0d37f.jpg,"[[-0.3973522186279297, -0.8270314931869507, 0.4782412648200989, 0.8250806927680969]]"
01f47d246.jpg,"[[-0.6338505148887634, -0.9072220325469971, 0.6069097518920898, 0.90032958984375]]"
01f9f858a.jpg,"[[-0.9046897888183594, -0.8891502618789673, 0.7341205477714539, 0.8889289498329163]]"
01fb8d6d7.jpg,"[[-0.8296745419502258, -0.9503271579742432, 0.7897072434425354, 0.9640133380889893]]"
020025fbc.jpg,"[[-0.4510164260864258, -0.8110748529434204, 0.25111308693885803, 0.8278297185897827]]"
02160c50a.jpg,"[[-0.8518869876861572, -0.9346845149993896, 0.8112216591835022, 0.9294654726982117]]"
0219364ca.jpg,"[[-0.9134268760681152, -0.944024920463562, 0.8501513600349426, 0.9433963298797607]]"
02283cf37.jpg,"[[-0.623055100440979, -0.8959734439849854, 0.6356414556503296, 0.9086983799934387]]"
