,Image,Id,validation
0,0000e88ab.jpg,w_f48451c,False
1,0001f9222.jpg,w_c3d896a,False
2,00029d126.jpg,w_20df2c5,False
3,00050a15a.jpg,new_whale,False
4,0005c1ef8.jpg,new_whale,False
5,0006e997e.jpg,new_whale,False
6,000a6daec.jpg,w_dd88965,False
7,000f0f2bf.jpg,new_whale,False
8,0016b897a.jpg,w_64404ac,False
9,001c1ac5f.jpg,w_a6f9d33,False
10,001cae55b.jpg,w_581ba42,False
11,001d7450c.jpg,new_whale,True
12,00200e115.jpg,new_whale,False
13,00245a598.jpg,new_whale,False
14,002b4615d.jpg,new_whale,True
15,002f99f01.jpg,new_whale,True
16,00355ff28.jpg,w_cb622a2,False
17,00357e37a.jpg,w_d3b46e7,False
18,003795857.jpg,new_whale,True
19,0041880bf.jpg,new_whale,False
20,0043da555.jpg,new_whale,True
21,00442c882.jpg,w_8cad422,False
22,00464ff65.jpg,new_whale,False
23,004775679.jpg,w_13ae3d4,False
24,004ae9e26.jpg,new_whale,False
25,004c0f43b.jpg,new_whale,False
26,004e8ad5b.jpg,w_3de579a,False
27,004f87702.jpg,w_1d0830e,False
28,0050ef29d.jpg,w_2ba6978,False
29,00514c876.jpg,w_8dddbee,False
30,0052ce2f5.jpg,w_2365d55,False
31,00537ec91.jpg,w_3879fa0,False
32,00570db6b.jpg,w_9c506f6,False
33,005ce3100.jpg,new_whale,True
34,00600ce17.jpg,new_whale,False
35,006017ddf.jpg,w_8a6a8d5,False
36,0060f764a.jpg,w_662530e,False
37,006500b3d.jpg,w_a8b34a0,False
38,006506edf.jpg,new_whale,False
39,0067b3a20.jpg,w_c0d11da,False
40,006bdc6ff.jpg,new_whale,False
41,00713060e.jpg,w_50e8d58,False
42,007218187.jpg,new_whale,False
43,0073118da.jpg,w_3881f28,False
44,007a7846f.jpg,w_9ad3551,False
45,007b62e05.jpg,w_cee684e,False
46,007f3eb46.jpg,w_41d24c6,False
47,008124524.jpg,w_8a235b6,False
48,0084fe40b.jpg,w_2e231f4,False
49,0085064af.jpg,new_whale,False
50,0085a6bd0.jpg,new_whale,False
51,00869b59e.jpg,new_whale,True
52,008bf89fc.jpg,w_6822dbc,False
53,008ebc50d.jpg,w_df86a42,False
54,00910010d.jpg,w_700ebb4,False
55,00917baa4.jpg,new_whale,False
56,0093454b6.jpg,w_d892cd9,False
57,009431af0.jpg,w_7a4b2f9,False
58,009589b45.jpg,w_bc285a6,False
59,0095fe89c.jpg,new_whale,False
60,00961802f.jpg,w_c70fbcd,False
61,009687166.jpg,w_778e474,False
62,0096c8ff3.jpg,w_f3252ff,False
63,009c45bc7.jpg,w_2df85e7,False
64,00a3dd76f.jpg,w_c7cda47,False
65,00a46c559.jpg,new_whale,True
66,00a4de95e.jpg,w_62bb54b,False
67,00a70e649.jpg,new_whale,False
68,00a9dc47d.jpg,w_c6c89db,False
69,00aae723d.jpg,new_whale,False
70,00b7ffb8a.jpg,w_1531bf5,False
71,00b92e9bf.jpg,w_4e1e04d,False
72,00bc4dade.jpg,w_d6ca28d,False
73,00c59bce9.jpg,w_1260eb5,False
74,00caa5c60.jpg,w_fccccec,False
75,00cf9982e.jpg,w_acd217a,False
76,00d07df97.jpg,w_5650932,False
77,00d1615b1.jpg,new_whale,False
78,00d43f154.jpg,w_c98aaad,False
79,00d4a4967.jpg,new_whale,False
80,00d641885.jpg,w_dd944b7,False
81,00d6cbcbf.jpg,w_6f0cbe3,False
82,00d7dc401.jpg,w_6cfa650,False
83,00d831b06.jpg,w_6e209a8,False
84,00d9e8278.jpg,w_1ea5d96,False
85,00dcd026f.jpg,w_914b110,False
86,00de0f4c8.jpg,new_whale,False
87,00ded1101.jpg,new_whale,True
88,00e059776.jpg,new_whale,False
89,00e4afee9.jpg,new_whale,False
90,00e68dc59.jpg,w_bf33ddf,False
91,00e9e5122.jpg,w_0369a5c,False
92,00eaedfab.jpg,w_13c9a17,False
93,00ec09075.jpg,new_whale,False
94,00ec13a19.jpg,w_3ff114c,False
95,00f0bde81.jpg,w_c896384,False
96,00f5927ae.jpg,new_whale,False
97,00f5aba71.jpg,new_whale,True
98,00fee3975.jpg,w_a9304b9,False
99,010262224.jpg,w_48fa708,False
100,01043c88f.jpg,w_b44e89d,False
101,01043cc4b.jpg,new_whale,False
102,01070510c.jpg,w_b7e3a9f,False
103,01078982f.jpg,w_691b684,False
104,0108c3e2b.jpg,new_whale,True
105,010a1f0eb.jpg,new_whale,False
106,010d37b13.jpg,new_whale,False
107,011258703.jpg,w_8be8406,False
108,0117ac323.jpg,w_4516d31,False
109,0118a64b8.jpg,w_dd00c66,False
110,01216c238.jpg,w_396c12b,False
111,01237f1ce.jpg,new_whale,False
112,0124d2989.jpg,w_03270e3,False
113,01324f822.jpg,w_fbc7895,False
114,0135bf774.jpg,new_whale,True
115,0138b56d1.jpg,w_5597026,False
116,0139248b7.jpg,w_8a71ca4,False
117,013935e54.jpg,w_a8c2847,False
118,01396f4d1.jpg,new_whale,False
119,01425e516.jpg,w_581ba42,True
120,0145d6294.jpg,w_9739508,False
121,0148ba553.jpg,w_ac97190,False
122,0148dbdd2.jpg,new_whale,True
123,014a7cdf0.jpg,new_whale,False
124,014c052b5.jpg,w_ddb62c2,False
